patrimonio;ip;tipo;local;idEscolaComp
134255;192.168.121.98;PC;LAB;164
134254;192.168.121.87;PC;LAB;164
134253;192.168.121.88;PC;LAB;164
134252;192.168.121.89;PC;LAB;164
134251;192.168.121.90;PC;LAB;164
134250;192.168.121.91;PC;LAB;164
134249;192.168.121.92;PC;LAB;164
134100;;PC;PROFESSORES;164
127155;192.168.121.35;MINIPC;DIRE?ÄO;164
127154;192.168.121.29;MINIPC;DIRE?ÄO;164
127153;192.168.121.25;MINIPC;DIRE?ÄO;164
127152;192.168.121.30;MINIPC;SECRETARIA;164
127151;192.168.121.26;MINIPC;COORDENA?ÄO;164
127150;192.168.121.23;MINIPC;COORDENA?ÄO;164
127149;;MINIPC;SECRETARIA;164
127148;192.168.121.36;MINIPC;SECRETARIA;164
134218;192.168.103.99;PC;LAB;165
133991;192.168.103.201;PC;SALA DE AULA;165
133990;192.168.103.227;PC;SALA DE AULA;165
133989;192.168.103.214;PC;SALA DE AULA;165
133988;192.168.103.208;PC;SALA DE AULA;165
133987;192.168.103.231;PC;SALA DE AULA;165
133986;192.168.103.185;PC;SALA DE AULA;165
133985;192.168.103.205;PC;SALA DE AULA;165
133984;192.168.103.204;PC;SALA DE AULA;165
133983;192.168.103.254;PC;SALA DE AULA;165
133982;192.168.103.172;PC;SALA DE AULA;165
133922;192.168.103.87;PC;LAB;165
133921;192.168.103.163;PC;LAB;165
133920;192.168.103.100;PC;LAB;165
133919;192.168.103.101;PC;LAB;165
133918;192.168.103.99;PC;LAB;165
133917;192.168.103.217;PC;LAB;165
133916;192.168.103.152;PC;LAB;165
133915;192.168.103.92;PC;LAB;165
133914;192.168.103.89;PC;LAB;165
133913;192.168.103.88;PC;LAB;165
133912;192.168.103.89;PC;LAB;165
133911;192.168.103.97;PC;LAB;165
133910;192.168.103.98;PC;LAB;165
133909;192.168.103.84;PC;LAB;165
33908;192.168.103.84;PC;LAB;165
133907;192.168.103.83;PC;LAB;165
133906;192.168.103.216;PC;LAB;165
133905;192.168.103.81;PC;LAB;165
133904;192.168.103.165;PC;LAB;165
125702;192.168.103.21;PC;SECRETARIA;165
125701;192.168.103.25;PC;COORDENA?ÄO;165
125700;192.168.103.50;PC;PROFESSORES;165
125699;192.168.103.9;PC;DIRE?ÄO;165
125698;192.168.103.85;PC;SECRETARIA;165
125697;192.168.103.23;PC;SECRETARIA;165
125696;192.168.103.26;PC;SECRETARIA;165
125695;192.168.103.22;PC;DIRE?ÄO;165
122826;;PC;DIRE?ÄO;CEI DO POIARES
122825; 192.168.94.22;PC;PROFESSORES;
122824;192.168.94.21;PC;SECRETARIA;
127215;192.168.16.25;MINIPC;SECRETARIA;CIASE SUMARê
127214;192.168.16.23;MINIPC;PROFESSORES;
127213;;MINIPC;SECRETARIA;
127212;192.168.16.28;MINIPC;DIRE?ÄO;
127211;192.168.16.24;MINIPC;SECRETARIA;
127210;192.168.16.27;MINIPC;DIRE?ÄO;
122454;;PC;SECRETARIA;
SEM DADOS;;;;CIASE TRAVESÄO
134147;192.168.137.23;PC;PROFESSORES;185
127225; 192.168.137.24;MINIPC;DIRE?ÄO;185
127224;192.168.137.22;MINIPC;SECRETARIA;185
127223;192.168.137.21;MINIPC;SECRETARIA;185
127222; 192.168.137.27;MINIPC;COORDENA?ÄO;185
127221;192.168.137.25;MINIPC;DIRE?ÄO;185
129921;192.168.248.120;PC;LAB;166
129920;192.168.248.105;PC;LAB;166
129919;192.168.248.103;PC;LAB;166
129918;192.168.248.119;PC;LAB;166
129917;192.168.248.106;PC;LAB;166
129916;192.168.248.108;PC;LAB;166
129915;192.168.248.113;PC;LAB;166
129914;;PC;LAB;166
129913;192.168.248.114;PC;LAB;166
129912;192.168.248.101;PC;LAB;166
129911;192.168.248.102;PC;LAB;166
129910;192.168.248.115;PC;LAB;166
129909;192.168.248.109;PC;LAB;166
129908;192.168.248.116;PC;LAB;166
129907;192.168.248.112;PC;LAB;166
129906;192.168.248.117;PC;LAB;166
129904;192.168.248.104;PC;LAB;166
129903;192.168.248.110;PC;LAB;166
129902;192.168.248.118;PC;LAB;166
129899;192.168.248.111;PC;LAB;166
125712;192.168.248.27;PC;COORDENA?ÄO;166
125711;192.168.248.37;PC;SECRETARIA;166
125710;192.168.248.22;PC;SECRETARIA;166
125709;192.168.248.25;PC;COORDENA?ÄO;166
125708;192.168.248.35;PC;DIRE?ÄO;166
125707;192.168.248.36;PC;SECRETARIA;166
125706;192.168.248.31;PC;SECRETARIA;166
125705;;PC;LAB;166
125704;192.168.248.21;PC;DIRE?ÄO;166
125703;192.168.248.28;PC;PROFESSORES;166
122450;192.168.248.21;PC;DIRE?ÄO;166
129946;192.168.14.21;PC;SECRETARIA;186
129944;192.168.14.22;PC;DIRE?ÄO;186
129815;192.168.14.24;PC;SECRETARIA;186
134157;192.168.114.30;PC;PROFESSORES;187
124945;192.168.114.23;PC;SECRETARIA;187
124944;192.168.114.25;PC;SECRETARIA;187
124943;192.168.114.22;PC;COORDENA?ÄO;187
124942;192.168.114.24;PC;DIRE?ÄO;187
124941;192.168.114.21;PC;DIRE?ÄO;187
129949;192.168.41.104;PC;LAB;167
129814;192.168.41.89;PC;LAB;167
129813;192.168.41.83;PC;LAB;167
129812;;PC;LAB;167
129811;192.168.41.80;PC;LAB;167
125001;192.168.41.100;PC;LAB;167
125000;;PC;LAB;167
124999;192.168.41.81;PC;LAB;167
124998;192.168.41.82;PC;LAB;167
124997;192.168.41.93;PC;LAB;167
124996;192.168.41.92;PC;LAB;167
124995;192.168.41.88;PC;LAB;167
124994;;PC;LAB;167
124993;;PC;LAB;167
124992;;PC;LAB;167
124991;192.168.41.84;PC;LAB;167
124990;192.168.41.36;PC;LAB;167
124989;192.168.41.31;PC;DIRE?ÄO;167
124988;192.168.41.38;PC;LAB;167
124987;192.168.41.75;PC;PROFESSORES;167
124986;192.168.41.21;PC;COORDENA?ÄO;167
124985;192.168.41.103;PC;PROFESSORES;167
124984;192.168.41.37;PC;SECRETARIA;167
124983;192.168.41.51;PC;SECRETARIA;167
124982;192.168.41.24;PC;DIRE?ÄO;167
124981;192.168.41.35;PC;SECRETARIA;167
124980;192.168.41.55;PC;DIRE?ÄO;167
124979;192.168.41.29;PC;COORDENA?ÄO;167
124977;192.168.41.86;PC;LAB;167
124931;192.168.41.102;PC;LAB;167
124930;192.168.41.101;PC;LAB;167
124928;192.168.41.96;PC;LAB;167
124926;192.168.41.99;PC;LAB;167
124925;192.168.41.95;PC;LAB;167
124924;192.168.41.87;PC;LAB;167
124923;192.168.41.85;PC;LAB;167
124920;192.168.41.90;PC;LAB;167
124951;192.168.41.41;PC;SECRETARIA;196
124950;192.168.41.25;PC;SECRETARIA;196
124949;192.168.41.43;PC;DIRE?ÄO;196
124948;192.168.41.40;PC;DIRE?ÄO;196
124947;192.168.41.47;PC;PROFESSORES;196
124946; 192.168.41.42;PC;COORDENA?ÄO;196
134101;192.168.26.28;PC;COORDENA?ÄO;168
133903;192.168.26.80;PC;LAB;168
133902;192.168.26.200;PC;LAB;168
133901;192.168.26.82;PC;LAB;168
133900;192.168.26.100;PC;LAB;168
133899;192.168.26.98;PC;LAB;168
133898;192.168.26.97;PC;LAB;168
133897;192.168.26.96;PC;LAB;168
133896;192.168.26.95;PC;LAB;168
133895;192.168.26.94;PC;LAB;168
133894;192.168.26.93;PC;LAB;168
133893;192.168.26.250;PC;LAB;168
133892;192.168.26.99;PC;LAB;168
133891;192.168.26.90;PC;LAB;168
133890;192.168.26.89;PC;LAB;168
133889;192.168.26.88;PC;LAB;168
133888;192.168.26.87;PC;LAB;168
133887;192.168.26.86;PC;LAB;168
133886;192.168.26.85;PC;LAB;168
133885;192.168.26.84;PC;LAB;168
133884;192.168.26.83;PC;LAB;168
125008;192.168.26.24;PC;DIRE?ÄO;168
125007;192.168.26.27;PC;SECRETARIA;168
125006;192.168.26.26;PC;DIRE?ÄO;168
125005;192.168.26.23;PC;PROFESSORES;168
125004;192.168.26.25;PC;SECRETARIA;168
125003;192.168.26.22;PC;SECRETARIA;168
125002;192.168.26.21;PC;DIRE?ÄO;168
124955;192.168.30.22;PC;SECRETARIA;188
124954;192.168.30.24;PC;SECRETARIA;188
124953;192.168.30.23;PC;PROFESSORES;188
124952;192.168.30.25;PC;DIRE?ÄO;188
122449;192.168.30.21;PC;DIRE?ÄO;188
122499;;PC;RECURSOS;169
122500;192.168.173.32;PC;COORDENA?ÄO;169
122503;192.168.173.26;PC;DIRE?ÄO;169
122504;192.168.173.31;PC;SECRETARIA;169
122511;192.168.173.29;PC;SECRETARIA;169
122524;192.168.173.27;PC;DIRE?ÄO;169
134071;192.168.173.80;PC;LAB;169
134072;192.168.173.81;PC;LAB;169
134073;192.168.173.82;PC;LAB;169
134074;192.168.173.83;PC;LAB;169
134075;192.168.173.84;PC;LAB;169
134076;192.168.173.85;PC;LAB;169
134077;192.168.173.86;PC;LAB;169
134078;192.168.173.87;PC;LAB;169
134079;192.168.173.88;PC;LAB;169
134080;192.168.173.89;PC;LAB;169
134081;192.168.173.110;PC;LAB;169
134082;;PC;LAB;169
134084;192.168.173.93;PC;LAB;169
134085;192.168.173.94;PC;LAB;169
134086;192.168.173.95;PC;LAB;169
134087;192.168.173.96;PC;LAB;169
134088;192.168.173.97;PC;LAB;169
134089;192.168.173.98;PC;LAB;169
134090;192.168.173.99;PC;LAB;169
134091;192.168.173.100;PC;LAB;169
134092;192.168.173.101;PC;LAB;169
134093;;PC;LAB;169
134102;192.168.173.33;PC;SECRETARIA;169
127176;192.168.139.116;PC;SALA DE AULA;173
127177;192.168.139.21;MINIPC;SECRETARIA;173
127178;;MINIPC;COORDENA?ÄO;173
127179;192.168.139.200;PC;SALA DE AULA;173
127180;192.168.139.25;MINIPC;SECRETARIA;173
133793;192.168.139.203;PC;SALA DE AULA;173
133794;192.168.139.119;PC;SALA DE AULA;173
133795;192.168.139.204;PC;LAB;173
133796;192.168.139.80;PC;LAB;173
133797;;PC;LAB;173
133798;;PC;LAB;173
133799;192.168.139.83;PC;LAB;173
133800;192.168.139.84;PC;LAB;173
133801;192.168.139.85;PC;LAB;173
133802;192.168.139.201;PC;SALA DE AULA;173
133803;192.168.139.202;PC;LAB;173
133804;192.168.139.212;PC;SALA DE AULA;173
133805;192.168.139.87;PC;LAB;173
133806;192.168.139.88;PC;LAB;173
133807;192.168.139.89;PC;LAB;173
133808;192.168.139.90;PC;LAB;173
133809;192.168.139.91;PC;LAB;173
133810;192.168.139.92;PC;LAB;173
133811;192.168.139.93;PC;LAB;173
133812;192.168.139.94;PC;LAB;173
134104;192.168.139.23;PC;DIRE?ÄO;173
127156;;MINIPC;LAB;170
127157;;MINIPC;LAB;170
127158;;MINIPC;LAB;170
127159;192.168.96.24;MINIPC;DIRE?ÄO;170
127160;192.168.96.25;MINIPC;COORDENA?ÄO;170
127161;192.168.96.21;MINIPC;SECRETARIA;170
127162;192.168.96.26;MINIPC;SECRETARIA;170
127163;192.168.96.22;MINIPC;SECRETARIA;170
127164;192.168.96.23;MINIPC;DIRE?ÄO;170
127165;;MINIPC;LAB;170
133813;192.168.96.88;PC;LAB;170
133814;192.168.96.92;PC;LAB;170
133815;192.168.96.94;PC;LAB;170
133816;192.168.96.95;PC;LAB;170
133817;192.168.96.93;PC;LAB;170
133818;192.168.96.84;PC;LAB;170
133819;192.168.96.87;PC;LAB;170
133820;192.168.96.92;PC;LAB;170
133821;192.168.96.90;PC;LAB;170
133822;192.168.96.187;PC;LAB;170
133823;192.168.96.89;PC;LAB;170
133824;192.168.96.85;PC;LAB;170
134103;192.168.11.231;PC;PROFESSORES;170
122452;192.168.134.21;PC;SECRETARIA;171
127166;192.168.134.23;MINIPC;COORDENA?ÄO;171
127167;192.168.134.24;MINIPC;COORDENA?ÄO;171
127168;192.168.134.22;MINIPC;SECRETARIA;171
127169;192.168.134.26;MINIPC;COORDENA?ÄO;171
127170;192.168.134.25;MINIPC;PROFESSORES;171
134198;192.168.134.93;PC;LAB;171
134199;192.168.134.92;PC;LAB;171
134200;192.168.134.91;PC;LAB;171
134201;192.168.134.90;PC;LAB;171
134202;192.168.134.89;PC;LAB;171
134203;192.168.134.88;PC;LAB;171
134204;192.168.134.87;PC;LAB;171
134205;192.168.134.86;PC;LAB;171
134206;192.168.134.85;PC;LAB;171
134207;192.168.134.84;PC;LAB;171
134208;192.168.134.83;PC;LAB;171
134209;192.168.134.82;PC;LAB;171
134210;192.168.134.80;PC;LAB;171
134211;;PC;LAB;171
134212;192.168.134.98;PC;LAB;171
134213;192.168.134.97;PC;LAB;171
134214;192.168.134.81;PC;LAB;171
134215;192.168.134.96;PC;LAB;171
134216;192.168.134.95;PC;LAB;171
134217;192.168.134.94;PC;LAB;171
134327;192.168.134.200;PC;SALA DE AULA;171
134328;;PC;SALA DE AULA;171
134329;192.168.134.204;PC;SALA DE AULA;171
134330;;PC;SALA DE AULA;171
134331;192.168.134.208;PC;SALA DE AULA;171
134334;192.168.134.201;PC;SALA DE AULA;171
134341;192.168.134.201;PC;SALA DE AULA;171
